#,Name,Address,Atoll,Island,District,Rooms,Beds
384,Lets Go Huraa,"New Pearl, Huravee Magu",Kaafu,Huraa,,,
385,Lhohi Inn,"Noovilaage, Orchid Magu",Noonu,Lhohi,,,
386,Liberty Diving Paradise,Rindhali,Alifu Dhaalu,Mahibadhoo,,4,8
387,Liberty Guest House,Feroas,Alifu Dhaalu,Mahibadhoo,,6,12
388,Like Home,"Paris, Kaneeru Magu",Vaavu,Fulidhoo,,6,12
389,Lily Rest,Blue Sky,Kaafu,Maafushi,,5,10
390,Local Island Inn,Moodhumaage,Alifu Dhaalu,Hangnaameedhoo,,4,8
391,Local Travel Beach,Sea or Water,Alifu Dhaalu,Hangnaameedhoo,,4,8
392,Lodger Guest House,Amaz,Seenu,Maradhoo Feydhoo,,3,6
393,Lofts by Bliss,"Arutha, Mirihi Magu",Alifu Dhaalu,Dhigurah,,4,8
394,Lonuveli,Hulhumale' Lot. No. 10712,Kaafu,Male',Hulhumale',19,38
395,"Luau Beach Inn, Maldives",Dheyliyaage,Vaavu,Fulidhoo,,14,28
396,Luna Lodge,Aroma,Lhaviyani,Olhuvelifushi,,5,10
397,Lunara Residence,Hudhuveli,Alifu Alifu,Thoddoo,,8,4
398,Luxury Beach Maldives,Nalakuri,Kaafu,Guraidhoo,,5,10
399,Maa Thundi,"Dhandimagu, Maa Thundi, Boashi Magu",Gnaviyani,Fuvahmulah,Dhandimagu,18,36
400,Maafushi View,Manzil,Kaafu,Maafushi,,4,8
401,Maalhos Thila Inn,Hina Villa,Alifu Alifu,Maalhos,,4,8
402,Maamadi Boutique,Gulshan,Kaafu,Maafushi,,8,16
403,Macnas Rasdhoo,Roashanee Maage,Alifu Alifu,Rasdhoo,,6,12
404,Mactura Residence,Guraha,Baa,Maalhos,,4,8
405,Madagali Inn,Kudhiruvaalige Dhekunubai,Kaafu,Guraidhoo,,3,6
406,Madi Finolhu,Aagaraage,Baa,Maalhos,,3,6
407,Madi Giri,Morning House,Baa,Maalhos,,7,14
408,Madivaru Kro,Gasdhoshuge,Alifu Alifu,Rasdhoo,,6,12
409,Magic Life Guest House,Little Hut,Vaavu,Felidhoo,,4,8
410,Mahchavaru Maldives,Chaandhanee Magu,Alifu Alifu,Mathiveri,,6,12
411,Maison Tiare,Najaf,Kaafu,Thulusdhoo,,3,6
412,Mala Boutique Inn,"Nees
Beach Road Magu",Alifu Dhaalu,Dhangethi,,4,8
